,drug,features,best C,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp,0.3593813663804626,0.7428571428571429,0.75,0.7647058823529411,0.7272727272727273,0.746268656716418
1,Cef,gpa,0.3593813663804626,0.7027027027027027,0.7333333333333333,0.7647058823529411,0.6666666666666666,0.7164179104477612
2,Cef,snps,0.3593813663804626,0.5405405405405406,0.5333333333333333,0.5882352941176471,0.48484848484848486,0.5373134328358209
3,Cip,genexp,10000.0,0.7222222222222222,0.8333333333333334,0.8125,0.75,0.7777777777777778
4,Cip,gpa,10000.0,0.7058823529411765,0.7894736842105263,0.75,0.75,0.75
5,Cip,snps,2.782559402207126,0.78125,0.825,0.78125,0.825,0.8055555555555556
6,Mer,genexp,0.3593813663804626,0.8333333333333334,0.8679245283018868,0.6818181818181818,0.9387755102040817,0.8591549295774648
7,Mer,gpa,0.3593813663804626,0.8823529411764706,0.8703703703703703,0.6818181818181818,0.9591836734693877,0.8732394366197183
8,Mer,snps,21.54434690031882,0.375,0.7090909090909091,0.2727272727272727,0.7959183673469388,0.6338028169014085
9,Tob,genexp,0.3593813663804626,0.9821428571428571,0.9615384615384616,0.9821428571428571,0.9615384615384616,0.975609756097561
10,Tob,gpa,0.3593813663804626,0.9032258064516129,1.0,1.0,0.7692307692307693,0.926829268292683
11,Tob,snps,166.81005372000558,0.9152542372881356,0.9130434782608695,0.9642857142857143,0.8076923076923077,0.9146341463414634
