,drug,features,best_C,test samples,predicted_s,real_s,predicted_r,real_r
0,Cef,genexp,0.001668100537200059,67,31,34,36,33
1,Cef,genexp+snps,100000.0,67,36,34,31,33
2,Cef,gpa,0.001668100537200059,67,37,34,30,33
3,Cef,genexp+gpa,0.001668100537200059,67,31,34,36,33
4,Cef,genexp+gpa+snps,100000.0,67,35,34,32,33
5,Cef,gpa+snps,100000.0,67,30,34,37,33
6,Cef,snps,100000.0,67,31,34,36,33
7,Cip,genexp,0.0001291549665014884,72,44,32,28,40
8,Cip,genexp+snps,100000.0,72,36,32,36,40
9,Cip,gpa,0.021544346900318843,72,40,32,32,40
10,Cip,genexp+gpa,0.0001291549665014884,72,43,32,29,40
11,Cip,genexp+gpa+snps,100000.0,72,38,32,34,40
12,Cip,gpa+snps,100000.0,72,38,32,34,40
13,Cip,snps,100000.0,72,36,32,36,40
14,Mer,genexp,0.001668100537200059,71,14,22,57,49
15,Mer,genexp+snps,100000.0,71,14,22,57,49
16,Mer,gpa,100000.0,71,18,22,53,49
17,Mer,genexp+gpa,0.001668100537200059,71,13,22,58,49
18,Mer,genexp+gpa+snps,100000.0,71,14,22,57,49
19,Mer,gpa+snps,100000.0,71,20,22,51,49
20,Mer,snps,100000.0,71,19,22,52,49
21,Tob,genexp,0.001668100537200059,82,57,56,25,26
22,Tob,genexp+snps,100000.0,82,57,56,25,26
23,Tob,gpa,100000.0,82,58,56,24,26
24,Tob,genexp+gpa,100000.0,82,58,56,24,26
25,Tob,genexp+gpa+snps,100000.0,82,57,56,25,26
26,Tob,gpa+snps,100000.0,82,59,56,23,26
27,Tob,snps,100000.0,82,59,56,23,26
