,drug,features,test samples,predicted_s,real_s,predicted_r,real_r
0,Cef,genexp,67,67,34,0,33
1,Cef,genexp+snps,67,64,34,3,33
2,Cef,gpa,67,67,34,0,33
3,Cef,genexp+gpa,67,67,34,0,33
4,Cef,genexp+gpa+snps,67,64,34,3,33
5,Cef,gpa+snps,67,57,34,10,33
6,Cef,snps,67,57,34,10,33
7,Cip,genexp,72,0,32,72,40
8,Cip,genexp+snps,72,0,32,72,40
9,Cip,gpa,72,0,32,72,40
10,Cip,genexp+gpa,72,0,32,72,40
11,Cip,genexp+gpa+snps,72,0,32,72,40
12,Cip,gpa+snps,72,5,32,67,40
13,Cip,snps,72,7,32,65,40
14,Mer,genexp,71,0,22,71,49
15,Mer,genexp+snps,71,0,22,71,49
16,Mer,gpa,71,0,22,71,49
17,Mer,genexp+gpa,71,0,22,71,49
18,Mer,genexp+gpa+snps,71,0,22,71,49
19,Mer,gpa+snps,71,0,22,71,49
20,Mer,snps,71,0,22,71,49
21,Tob,genexp,82,82,56,0,26
22,Tob,genexp+snps,82,72,56,10,26
23,Tob,gpa,82,75,56,7,26
24,Tob,genexp+gpa,82,82,56,0,26
25,Tob,genexp+gpa+snps,82,72,56,10,26
26,Tob,gpa+snps,82,71,56,11,26
27,Tob,snps,82,71,56,11,26
