,drug,features,best_C,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp,0.001668100537200059,0.7096774193548387,0.6666666666666666,0.6470588235294118,0.7272727272727273,0.6865671641791045
1,Cef,genexp+snps,100000.0,0.6111111111111112,0.6129032258064516,0.6470588235294118,0.5757575757575758,0.6119402985074627
2,Cef,gpa,0.001668100537200059,0.6756756756756757,0.7,0.7352941176470589,0.6363636363636364,0.6865671641791045
3,Cef,genexp+gpa,0.001668100537200059,0.7419354838709677,0.6944444444444444,0.6764705882352942,0.7575757575757576,0.7164179104477612
4,Cef,genexp+gpa+snps,100000.0,0.6,0.59375,0.6176470588235294,0.5757575757575758,0.5970149253731343
5,Cef,gpa+snps,100000.0,0.6333333333333333,0.5945945945945946,0.5588235294117647,0.6666666666666666,0.6119402985074627
6,Cef,snps,100000.0,0.6451612903225806,0.6111111111111112,0.5882352941176471,0.6666666666666666,0.6268656716417911
7,Cip,genexp,0.0001291549665014884,0.6818181818181818,0.9285714285714286,0.9375,0.65,0.7777777777777778
8,Cip,genexp+snps,100000.0,0.6111111111111112,0.7222222222222222,0.6875,0.65,0.6666666666666666
9,Cip,gpa,0.021544346900318843,0.625,0.78125,0.78125,0.625,0.6944444444444444
10,Cip,genexp+gpa,0.0001291549665014884,0.6744186046511628,0.896551724137931,0.90625,0.65,0.7638888888888888
11,Cip,genexp+gpa+snps,100000.0,0.631578947368421,0.7647058823529411,0.75,0.65,0.6944444444444444
12,Cip,gpa+snps,100000.0,0.631578947368421,0.7647058823529411,0.75,0.65,0.6944444444444444
13,Cip,snps,100000.0,0.6111111111111112,0.7222222222222222,0.6875,0.65,0.6666666666666666
14,Mer,genexp,0.001668100537200059,0.7857142857142857,0.8070175438596491,0.5,0.9387755102040817,0.8028169014084507
15,Mer,genexp+snps,100000.0,0.6428571428571429,0.7719298245614035,0.4090909090909091,0.8979591836734694,0.7464788732394366
16,Mer,gpa,100000.0,0.4444444444444444,0.7358490566037735,0.36363636363636365,0.7959183673469388,0.6619718309859155
17,Mer,genexp+gpa,0.001668100537200059,0.7692307692307693,0.7931034482758621,0.45454545454545453,0.9387755102040817,0.7887323943661971
18,Mer,genexp+gpa+snps,100000.0,0.6428571428571429,0.7719298245614035,0.4090909090909091,0.8979591836734694,0.7464788732394366
19,Mer,gpa+snps,100000.0,0.35,0.7058823529411765,0.3181818181818182,0.7346938775510204,0.6056338028169014
20,Mer,snps,100000.0,0.3684210526315789,0.7115384615384616,0.3181818181818182,0.7551020408163265,0.6197183098591549
21,Tob,genexp,0.001668100537200059,0.9122807017543859,0.84,0.9285714285714286,0.8076923076923077,0.8902439024390244
22,Tob,genexp+snps,100000.0,0.9473684210526315,0.92,0.9642857142857143,0.8846153846153846,0.9390243902439024
23,Tob,gpa,100000.0,0.9482758620689655,0.9583333333333334,0.9821428571428571,0.8846153846153846,0.9512195121951219
24,Tob,genexp+gpa,100000.0,0.9310344827586207,0.9166666666666666,0.9642857142857143,0.8461538461538461,0.926829268292683
25,Tob,genexp+gpa+snps,100000.0,0.9473684210526315,0.92,0.9642857142857143,0.8846153846153846,0.9390243902439024
26,Tob,gpa+snps,100000.0,0.9152542372881356,0.9130434782608695,0.9642857142857143,0.8076923076923077,0.9146341463414634
27,Tob,snps,100000.0,0.9152542372881356,0.9130434782608695,0.9642857142857143,0.8076923076923077,0.9146341463414634
