,drug,features,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp,0.5074626865671642,0.0,1.0,0.0,0.5074626865671642
1,Cef,genexp+snps,0.53125,1.0,1.0,0.09090909090909091,0.5522388059701493
2,Cef,gpa,0.5074626865671642,0.0,1.0,0.0,0.5074626865671642
3,Cef,genexp+gpa,0.5074626865671642,0.0,1.0,0.0,0.5074626865671642
4,Cef,genexp+gpa+snps,0.53125,1.0,1.0,0.09090909090909091,0.5522388059701493
5,Cef,gpa+snps,0.5964912280701754,1.0,1.0,0.30303030303030304,0.6567164179104478
6,Cef,snps,0.5964912280701754,1.0,1.0,0.30303030303030304,0.6567164179104478
7,Cip,genexp,0.0,0.5555555555555556,0.0,1.0,0.5555555555555556
8,Cip,genexp+snps,0.0,0.5555555555555556,0.0,1.0,0.5555555555555556
9,Cip,gpa,0.0,0.5555555555555556,0.0,1.0,0.5555555555555556
10,Cip,genexp+gpa,0.0,0.5555555555555556,0.0,1.0,0.5555555555555556
11,Cip,genexp+gpa+snps,0.0,0.5555555555555556,0.0,1.0,0.5555555555555556
12,Cip,gpa+snps,0.8,0.582089552238806,0.125,0.975,0.5972222222222222
13,Cip,snps,0.8571428571428571,0.6,0.1875,0.975,0.625
14,Mer,genexp,0.0,0.6901408450704225,0.0,1.0,0.6901408450704225
15,Mer,genexp+snps,0.0,0.6901408450704225,0.0,1.0,0.6901408450704225
16,Mer,gpa,0.0,0.6901408450704225,0.0,1.0,0.6901408450704225
17,Mer,genexp+gpa,0.0,0.6901408450704225,0.0,1.0,0.6901408450704225
18,Mer,genexp+gpa+snps,0.0,0.6901408450704225,0.0,1.0,0.6901408450704225
19,Mer,gpa+snps,0.0,0.6901408450704225,0.0,1.0,0.6901408450704225
20,Mer,snps,0.0,0.6901408450704225,0.0,1.0,0.6901408450704225
21,Tob,genexp,0.6829268292682927,0.0,1.0,0.0,0.6829268292682927
22,Tob,genexp+snps,0.7777777777777778,1.0,1.0,0.38461538461538464,0.8048780487804879
23,Tob,gpa,0.7466666666666667,1.0,1.0,0.2692307692307692,0.7682926829268293
24,Tob,genexp+gpa,0.6829268292682927,0.0,1.0,0.0,0.6829268292682927
25,Tob,genexp+gpa+snps,0.7777777777777778,1.0,1.0,0.38461538461538464,0.8048780487804879
26,Tob,gpa+snps,0.7887323943661971,1.0,1.0,0.4230769230769231,0.8170731707317073
27,Tob,snps,0.7887323943661971,1.0,1.0,0.4230769230769231,0.8170731707317073
