,drug,features,best_k
0,Cef,genexp,12
1,Cef,genexp+snps,8
2,Cef,gpa,5
3,Cef,genexp+gpa,15
4,Cef,genexp+gpa+snps,8
5,Cef,gpa+snps,10
6,Cef,snps,10
7,Cip,genexp,8
8,Cip,genexp+snps,5
9,Cip,gpa,5
10,Cip,genexp+gpa,20
11,Cip,genexp+gpa+snps,12
12,Cip,gpa+snps,8
13,Cip,snps,12
14,Mer,genexp,12
15,Mer,genexp+snps,5
16,Mer,gpa,15
17,Mer,genexp+gpa,12
18,Mer,genexp+gpa+snps,5
19,Mer,gpa+snps,20
20,Mer,snps,15
21,Tob,genexp,12
22,Tob,genexp+snps,5
23,Tob,gpa,5
24,Tob,genexp+gpa,5
25,Tob,genexp+gpa+snps,5
26,Tob,gpa+snps,5
27,Tob,snps,5
